"","protein","colors"
"1","TNFRSF14","turquoise"
"2","LDL receptor","turquoise"
"3","ITGB2","blue"
"4","IL-17RA","blue"
"5","TNF-R2","turquoise"
"6","MMP-9","green"
"7","EPHB4","turquoise"
"8","IL2-RA","yellow"
"9","OPG","yellow"
"10","ALCAM","blue"
"11","TFF3","brown"
"12","SELP","green"
"13","CSTB","brown"
"14","MCP-1","turquoise"
"15","CD163","blue"
"16","Gal-3","brown"
"17","GRN","blue"
"18","NT-proBNP","yellow"
"19","BLM hydrolase","brown"
"20","PLC","turquoise"
"21","LTBR","turquoise"
"22","Notch 3","blue"
"23","TIMP4","turquoise"
"24","CNTN1","blue"
"25","CDH5","blue"
"26","TLT-2","turquoise"
"27","FABP4","brown"
"28","TFPI","turquoise"
"29","PAI","green"
"30","CCL24","grey"
"31","TR","brown"
"32","TNFRSF10C","turquoise"
"33","GDF-15","blue"
"34","SELE","blue"
"35","AZU1","green"
"36","DLK-1","turquoise"
"37","SPON1","turquoise"
"38","MPO","green"
"39","CXCL16","turquoise"
"40","IL-6RA","turquoise"
"41","RETN","turquoise"
"42","IGFBP-1","yellow"
"43","CHIT1","turquoise"
"44","TR-AP","turquoise"
"45","GP6","turquoise"
"46","PSP-D","turquoise"
"47","PI3","turquoise"
"48","Ep-CAM","grey"
"49","AP-N","blue"
"50","AXL","yellow"
"51","IL-1RT1","blue"
"52","MMP-2","blue"
"53","FAS","turquoise"
"54","MB","brown"
"55","TNFSF13B","yellow"
"56","PRTN3","green"
"57","PCSK9","turquoise"
"58","U-PAR","brown"
"59","OPN","yellow"
"60","CTSD","blue"
"61","PGLYRP1","turquoise"
"62","CPA1","grey"
"63","JAM-A","brown"
"64","Gal-4","turquoise"
"65","IL-1RT2","blue"
"66","SHPS-1","yellow"
"67","CCL15","turquoise"
"68","CASP-3","brown"
"69","uPA","blue"
"70","CPB1","turquoise"
"71","CHI3L1","yellow"
"72","ST2","brown"
"73","t-PA","grey"
"74","SCGB3A2","brown"
"75","EGFR","blue"
"76","IGFBP-7","blue"
"77","CD93","turquoise"
"78","IL-18BP","turquoise"
"79","COL1A1","blue"
"80","PON3","grey"
"81","CTSZ","turquoise"
"82","MMP-3","brown"
"83","RARRES2","turquoise"
"84","ICAM-2","blue"
"85","KLK6","turquoise"
"86","PDGF subunit A","green"
"87","TNF-R1","turquoise"
"88","IGFBP-2","yellow"
"89","vWF","green"
"90","PECAM-1","blue"
"91","MEPE","turquoise"
"92","CCL16","turquoise"
